Name,Gods,Tags,Domains,Race,Alignment,Symbol
"Helm, God of Protection","Helm, God of Protection (The%20Continent/Pantheons/Untitled/Ascended/Asetherian%20Ascended/Helm,%20God%20of%20Protection%20139f1754c40381ad9691daa97d5448ba.csv) ",Asetherian Ascended God,"Life, Light",Goliath,Lawful Neutral,
"Ilmater, God of Endurance","Ilmater, God of Endurance (The%20Continent/Pantheons/Untitled/Ascended/Asetherian%20Ascended/Ilmater,%20God%20of%20Endurance%20139f1754c40381c2bc5aeb9c2be0a465.csv) ",Asetherian Ascended God,Life,Celestial Coutl,Lawful Good,
"Kelemvor, God of the Dead","Kelemvor, God of the Dead (The%20Continent/Pantheons/Untitled/Ascended/Asetherian%20Ascended/Kelemvor,%20God%20of%20the%20Dead%20139f1754c4038151a3ebc85bc326f596.csv) ",Asetherian Ascended God,Death,Revenant,Lawful Neutral,
"Lathander, God of Birth and Renewal","Lathander, God of Birth and Renewal (The%20Continent/Pantheons/Untitled/Ascended/Asetherian%20Ascended/Lathander,%20God%20of%20Birth%20and%20Renewal%20139f1754c40381c0824fec50acac45f5.csv) ",Asetherian Ascended God,"Life, Light",Aasimar,Neutral Good,
"Leira, Goddess of Illusion","Leira, Goddess of Illusion (The%20Continent/Pantheons/Untitled/Ascended/Asetherian%20Ascended/Leira,%20Goddess%20of%20Illusion%20139f1754c403817c9997ea590bf85350.csv) ",Asetherian Ascended God,Trickery,Shadow Demon,Chaotic Neutral,
"Lliira, Goddess of Joy","Lliira, Goddess of Joy (The%20Continent/Pantheons/Untitled/Ascended/Asetherian%20Ascended/Lliira,%20Goddess%20of%20Joy%20139f1754c4038125adf2db1f14f9c89c.csv) ",Asetherian Ascended God,Life,Sprite/Fairy,Chaotic Good,
"Loviatar, Goddess of Pain","Loviatar, Goddess of Pain (The%20Continent/Pantheons/Untitled/Ascended/Asetherian%20Ascended/Loviatar,%20Goddess%20of%20Pain%20139f1754c40381beb232d97e86c94c4d.csv) ",Asetherian Ascended God,Death,Drow,Lawful Evil,
"Malar, God of the Hunt","Malar, God of the Hunt (The%20Continent/Pantheons/Untitled/Ascended/Asetherian%20Ascended/Malar,%20God%20of%20the%20Hunt%20139f1754c4038179905cf8daee3fc887.csv) ",Asetherian Ascended God,Nature,Shifter,Chaotic Evil,
"Mask, God of Thieves","Mask, God of Thieves (The%20Continent/Pantheons/Untitled/Ascended/Asetherian%20Ascended/Mask,%20God%20of%20Thieves%20139f1754c403810b86bfe86f940ddb65.csv) ",Asetherian Ascended God,Trickery,Kenku,Chaotic Neutral,
"Mielikki, Goddess of Forest","Mielikki, Goddess of Forest (The%20Continent/Pantheons/Untitled/Ascended/Asetherian%20Ascended/Mielikki,%20Goddess%20of%20Forest%20139f1754c403817b8ac6cf4484a1391a.csv) ",Asetherian Ascended God,Nature,Dryad,Neutral Good,
"Milil, God of Poetry and Song","Milil, God of Poetry and Song (The%20Continent/Pantheons/Untitled/Ascended/Asetherian%20Ascended/Milil,%20God%20of%20Poetry%20and%20Song%20139f1754c403814fbd43f6b919813d21.csv) ",Asetherian Ascended God,Light,Harpy,Neutral Good,
"Myrkul, God of Death","Myrkul, God of Death (The%20Continent/Pantheons/Untitled/Ascended/Asetherian%20Ascended/Myrkul,%20God%20of%20Death%20139f1754c40381938fbbe274d82a8867.csv) ",Asetherian Ascended God,Death,Lich,Neutral Evil,
"Mystra, Goddess of Magic","Mystra, Goddess of Magic (The%20Continent/Pantheons/Untitled/Ascended/Asetherian%20Ascended/Mystra,%20Goddess%20of%20Magic%20139f1754c40381a49521d4b976ccaead.csv) ",Asetherian Ascended God,Knowledge,Eladrin,Neutral Good,
"Oghma, God of Knowledge","Oghma, God of Knowledge (The%20Continent/Pantheons/Untitled/Ascended/Asetherian%20Ascended/Oghma,%20God%20of%20Knowledge%20139f1754c4038130959ad431529a3b33.csv) ",Asetherian Ascended God,Knowledge,Gnome,True Neutral,
"Savras, God of Divination and Fate","Savras, God of Divination and Fate (The%20Continent/Pantheons/Untitled/Ascended/Asetherian%20Ascended/Savras,%20God%20of%20Divination%20and%20Fate%20139f1754c403815790e2f689a2a0365d.csv) ",Asetherian Ascended God,Knowledge,Kalashtar,Lawaful Neutral,
"Selune, Goddess of the Moon","Selune, Goddess of the Moon (The%20Continent/Pantheons/Untitled/Ascended/Asetherian%20Ascended/Selune,%20Goddess%20of%20the%20Moon%20139f1754c403816bbd24c9483b6831c4.csv) ",Asetherian Ascended God,"Knowledge, Life",Eladrin,Chaotic Good,
"Shar, Goddess of Darkness and Loss","Shar, Goddess of Darkness and Loss (The%20Continent/Pantheons/Untitled/Ascended/Asetherian%20Ascended/Shar,%20Goddess%20of%20Darkness%20and%20Loss%20139f1754c403818e8b69cd2f58458e08.csv) ",Asetherian Ascended God,"Death, Trickery",Shadar-Kai,Neautral Evil,
"Silvanus, God of Wild Nature","Silvanus, God of Wild Nature (The%20Continent/Pantheons/Untitled/Ascended/Asetherian%20Ascended/Silvanus,%20God%20of%20Wild%20Nature%20139f1754c40381279384c6fdbac99ae2.csv) ",Asetherian Ascended God,Nature,Firbolg,True Neutral,
"Sune, Goddess of Love and Beauty","Sune, Goddess of Love and Beauty (The%20Continent/Pantheons/Untitled/Ascended/Asetherian%20Ascended/Sune,%20Goddess%20of%20Love%20and%20Beauty%20139f1754c40381b29758d8f841afe091.csv) ",Asetherian Ascended God,"Life, Light",Nymph,Chaotic Good,
"Talona, Goddess of Disease and Poison","Talona, Goddess of Disease and Poison (The%20Continent/Pantheons/Untitled/Ascended/Asetherian%20Ascended/Talona,%20Goddess%20of%20Disease%20and%20Poison%20139f1754c403812e9e43e2743f858337.csv) ",Asetherian Ascended God,Death,Medusa,Chaotic Evil,
"Talos, God of Storms","Talos, God of Storms (The%20Continent/Pantheons/Untitled/Ascended/Asetherian%20Ascended/Talos,%20God%20of%20Storms%20139f1754c403813ba012ffcf5fa927d0.csv) ",Asetherian Ascended God,Tempest,Storm Giant,Chaotic Evil,
"Tempus, God of War","Tempus, God of War (The%20Continent/Pantheons/Untitled/Ascended/Asetherian%20Ascended/Tempus,%20God%20of%20War%20139f1754c403812d85c6e36df0fb0afb.csv) ",Asetherian Ascended God,War,Goliath,True Neutral,
"Torm, God of Courage and Self-Sacrifice","Torm, God of Courage and Self-Sacrifice (The%20Continent/Pantheons/Untitled/Ascended/Asetherian%20Ascended/Torm,%20God%20of%20Courage%20and%20Self-Sacrifice%20139f1754c4038147b608f8ad33b8f22e.csv) ",Asetherian Ascended God,War,Aasimar,Lawful Good,
"Tymora, Goddess of Good Fortune","Tymora, Goddess of Good Fortune (The%20Continent/Pantheons/Untitled/Ascended/Asetherian%20Ascended/Tymora,%20Goddess%20of%20Good%20Fortune%20139f1754c40381dc8a95de6f367dfa0f.csv) ",Asetherian Ascended God,Trickery,Halfling,Chaotic Good,
"Tyr, God of Justice","Tyr, God of Justice (The%20Continent/Pantheons/Untitled/Ascended/Asetherian%20Ascended/Tyr,%20God%20of%20Justice%20139f1754c4038189adddf027fe5ca28b.csv) ",Asetherian Ascended God,War,Aasiamar,Lawful Good,
"Umberlee, Goddess of the Sea","Umberlee, Goddess of the Sea (The%20Continent/Pantheons/Untitled/Ascended/Asetherian%20Ascended/Umberlee,%20Goddess%20of%20the%20Sea%20139f1754c40381d08723e8028daa0656.csv) ",Asetherian Ascended God,Tempest,Kraken/Triton,Chaotic Evil,
"Waukeen, God of Trade","Waukeen, God of Trade (The%20Continent/Pantheons/Untitled/Ascended/Asetherian%20Ascended/Waukeen,%20God%20of%20Trade%20139f1754c40381dc9286e9c27fc4d70b.csv) ",Asetherian Ascended God,"Knowledge, Trickery",Half-Elf,True Neutral,
"Adamus, The Earth Keeper","Adamus, The Earth Keeper (The%20Continent/Pantheons/Untitled/Titans/Asetherian%20Titans/Adamus,%20The%20Earth%20Keeper%20139f1754c40381b781d9c3b15d4ffbca.csv) ",Aetherian Ancient Titan,"Earth, Agriculture",Ancient Titan,True Neutral,
"Andes, Titan of Dawn","Andes, Titan of Dawn (The%20Continent/Pantheons/Untitled/Titans/Asetherian%20Titans/Andes,%20Titan%20of%20Dawn%20139f1754c40381a1baa0f0cc1853d4ac.csv) ",Aetherian Ancient Titan,"Light, Renewal",Ancient Titan,"True Neutral ",
"Anchiale, The Flame Artisan","Anchiale, The Flame Artisan (The%20Continent/Pantheons/Untitled/Titans/Asetherian%20Titans/Anchiale,%20The%20Flame%20Artisan%20139f1754c4038158971cccf3378cb008.csv) ",Aetherian Ancient Titan,"Fire, Craft",Ancient Titan,Chaotic Neutral,
"Anytus, Titan of Order","Anytus, Titan of Order (The%20Continent/Pantheons/Untitled/Titans/Asetherian%20Titans/Anytus,%20Titan%20of%20Order%20139f1754c4038156ae51f3120ee8db2d.csv) ",Aetherian Ancient Titan,"Nature, Order",Ancient Titan,Lawful Neutral,
"Asteria, The Night Seer","Asteria, The Night Seer (The%20Continent/Pantheons/Untitled/Titans/Asetherian%20Titans/Asteria,%20The%20Night%20Seer%20139f1754c40381a592d4c23621c6f08a.csv) ",Aetherian Ancient Titan,"Night, Prophecy",Ancient Titan,Chaotic Good,
"Astraeus, Titan of the Wind","Astraeus, Titan of the Wind (The%20Continent/Pantheons/Untitled/Titans/Asetherian%20Titans/Astraeus,%20Titan%20of%20the%20Wind%20139f1754c403819286ddf314285c468a.csv) ",Aetherian Ancient Titan,"Stars, Wind",Ancient Titan,"True Neutral ",
"Atlas, The Strength Bearer","Atlas, The Strength Bearer (The%20Continent/Pantheons/Untitled/Titans/Asetherian%20Titans/Atlas,%20The%20Strength%20Bearer%20139f1754c40381109ba7deae5b86c2d9.csv) ",Aetherian Ancient Titan,"Endurance, Strength",Ancient Titan,Lawful Neutral,
"Aura, Titan of Freedom","Aura, Titan of Freedom (The%20Continent/Pantheons/Untitled/Titans/Asetherian%20Titans/Aura,%20Titan%20of%20Freedom%20139f1754c4038145b06ed6e9fe96d834.csv) ",Aetherian Ancient Titan,"Air, Freedom",Ancient Titan,Chaotic Neutral,
"Clymene, The Deceptive Muse","Clymene, The Deceptive Muse (The%20Continent/Pantheons/Untitled/Titans/Asetherian%20Titans/Clymene,%20The%20Deceptive%20Muse%20139f1754c40381ab91e9fcf6ab276797.csv) ",Aetherian Ancient Titan,"Fame, Deception",Ancient Titan,Neutral Good,
"Coeus, Titan of Shadows","Coeus, Titan of Shadows (The%20Continent/Pantheons/Untitled/Titans/Asetherian%20Titans/Coeus,%20Titan%20of%20Shadows%20139f1754c40381dfb06eeca633c08b9a.csv) ",Aetherian Ancient Titan,"Knowledge, Shadows",Ancient Titan,Neutral Evil,
"Crius, The War Strategist","Crius, The War Strategist (The%20Continent/Pantheons/Untitled/Titans/Asetherian%20Titans/Crius,%20The%20War%20Strategist%20139f1754c40381a3a7ded270bcfb167c.csv) ",Aetherian Ancient Titan,"Constellations, Conflict",Ancient Titan,Lawful Evil,
"Cronus, Titan of Time","Cronus, Titan of Time (The%20Continent/Pantheons/Untitled/Titans/Asetherian%20Titans/Cronus,%20Titan%20of%20Time%20139f1754c40381f09941ec379805c544.csv) ",Aetherian Ancient Titan,"Time, Harvest",Ancient Titan,Lawful Evil,
"Curetes, Titan of Trickery","Curetes, Titan of Trickery (The%20Continent/Pantheons/Untitled/Titans/Asetherian%20Titans/Curetes,%20Titan%20of%20Trickery%20139f1754c403817bb3d9d8162993b052.csv) ",Aetherian Ancient Titan,"War, Trickery",Ancient Titan,Chaotic Neutral,
"Dione, The Life Seer","Dione, The Life Seer (The%20Continent/Pantheons/Untitled/Titans/Asetherian%20Titans/Dione,%20The%20Life%20Seer%20139f1754c40381f88870edbd192907ac.csv) ",Aetherian Ancient Titan,"Propecy, Life",Ancient Titan,Neutral Good,
"Eos, Titan of Light","Eos, Titan of Light (The%20Continent/Pantheons/Untitled/Titans/Asetherian%20Titans/Eos,%20Titan%20of%20Light%20139f1754c403812f937ee51cede9916f.csv) ",Aetherian Ancient Titan,"Light, Dawn",Ancient Titan,Neutral Good,
"Epimetheus,, The Beast Tamer","Epimetheus,, The Beast Tamer (The%20Continent/Pantheons/Untitled/Titans/Asetherian%20Titans/Epimetheus,,%20The%20Beast%20Tamer%20139f1754c403810a828eeba7d1e6cda9.csv) ",Aetherian Ancient Titan,"Beast, Impulse",Ancient Titan,Chaotic Neutral,
Eurybia. Titan of Storms,"Eurybia. Titan of Storms (The%20Continent/Pantheons/Untitled/Titans/Asetherian%20Titans/Eurybia%20Titan%20of%20Storms%20139f1754c403811db722eedf9ea65682.csv) ",Aetherian Ancient Titan,"Sea, Storms",Ancient Titan,"True Neutral ",
"Eurynome, The Harmony","Eurynome, The Harmony (The%20Continent/Pantheons/Untitled/Titans/Asetherian%20Titans/Eurynome,%20The%20Harmony%20139f1754c40381d2a60fec0e00ae1f7e.csv) ",Aetherian Ancient Titan,"Nature, Harmony",Ancient Titan,Neutral Good,
"Gigantes, Titan of Chaos","Gigantes, Titan of Chaos (The%20Continent/Pantheons/Untitled/Titans/Asetherian%20Titans/Gigantes,%20Titan%20of%20Chaos%20139f1754c403816992b3c2390cf09fe3.csv) ",Aetherian Ancient Titan,"Strength, Chaos",Ancient Titan,Chaotic Neutral,
"Helios, Titan of Vitality","Helios, Titan of Vitality (The%20Continent/Pantheons/Untitled/Titans/Asetherian%20Titans/Helios,%20Titan%20of%20Vitality%20139f1754c40381c4bbb3e928f41e40fe.csv) ",Aetherian Ancient Titan,"Sun, Vitality",Ancient Titan,Neutral Good,
"Hoplodamus, Titan of Guardianship","Hoplodamus, Titan of Guardianship (The%20Continent/Pantheons/Untitled/Titans/Asetherian%20Titans/Hoplodamus,%20Titan%20of%20Guardianship%20139f1754c40381c6b29bc47ec63bb746.csv) ",Aetherian Ancient Titan,"War, Guardianship",Ancient Titan,Lawful Neutral,
"Hyperion, Titan of Knowledge","Hyperion, Titan of Knowledge (The%20Continent/Pantheons/Untitled/Titans/Asetherian%20Titans/Hyperion,%20Titan%20of%20Knowledge%20139f1754c4038122a88dc4507a30ffce.csv) ",Aetherian Ancient Titan,"Light, Knowledge",Ancient Titan," Neutral Good",
"Iapetus, The Doom Herald","Iapetus, The Doom Herald (The%20Continent/Pantheons/Untitled/Titans/Asetherian%20Titans/Iapetus,%20The%20Doom%20Herald%20139f1754c40381f1838fe1afeed06e6e.csv) ",Aetherian Ancient Titan,"Mortality, Doom",Ancient Titan,Lawful Evil,
"Lelantos, Titan of the Wild","Lelantos, Titan of the Wild (The%20Continent/Pantheons/Untitled/Titans/Asetherian%20Titans/Lelantos,%20Titan%20of%20the%20Wild%20139f1754c40381908b26c8d5ef766d4d.csv) ",Aetherian Ancient Titan,"Stealth, Wilderness",Ancient Titan,Chaotic Neutral,
"Leto, The Graceful Mother","Leto, The Graceful Mother (The%20Continent/Pantheons/Untitled/Titans/Asetherian%20Titans/Leto,%20The%20Graceful%20Mother%20139f1754c403811483e3e41c317a6668.csv) ",Aetherian Ancient Titan,"Motherhood, Grace",Ancient Titan,Neutral Good,
"Megamedes, Titan of Strategy","Megamedes, Titan of Strategy (The%20Continent/Pantheons/Untitled/Titans/Asetherian%20Titans/Megamedes,%20Titan%20of%20Strategy%20139f1754c403812cb865e4479b638ba8.csv) ",Aetherian Ancient Titan,"Strategy, Command",Ancient Titan,Lawful Evil,
"Melisseus, The Abundant Guardian","Melisseus, The Abundant Guardian (The%20Continent/Pantheons/Untitled/Titans/Asetherian%20Titans/Melisseus,%20The%20Abundant%20Guardian%20139f1754c40381609cf9e381ffff0f68.csv) ",Aetherian Ancient Titan,"Protection, Abundance",Ancient Titan,Neutral Good,
"Menoetius, Titan of Destruction","Menoetius, Titan of Destruction (The%20Continent/Pantheons/Untitled/Titans/Asetherian%20Titans/Menoetius,%20Titan%20of%20Destruction%20139f1754c40381f28054f1bfa442398a.csv) ",Aetherian Ancient Titan,"Destruction, Wrath",Ancient Titan,Chaotic Evil,
"Metis, The Wise Strategist","Metis, The Wise Strategist (The%20Continent/Pantheons/Untitled/Titans/Asetherian%20Titans/Metis,%20The%20Wise%20Strategist%20139f1754c40381c2aec2f8ecc5507785.csv) ",Aetherian Ancient Titan,"Wisdom, Strategy",Ancient Titan,Chaotic Evil,
"Mnemosyne, The Keeper of Memories","Mnemosyne, The Keeper of Memories (The%20Continent/Pantheons/Untitled/Titans/Asetherian%20Titans/Mnemosyne,%20The%20Keeper%20of%20Memories%20139f1754c40381bd92ead187d5fbc120.csv) ",Aetherian Ancient Titan,"Memory, History",Ancient Titan,Lawful Neutral,
"Muses Elder, Titan of Inspiration","Clymene, The Deceptive Muse (The%20Continent/Pantheons/Untitled/Titans/Asetherian%20Titans/Clymene,%20The%20Deceptive%20Muse%20139f1754c40381ab91e9fcf6ab276797.csv) ",Aetherian Ancient Titan,"Music, Inspiration",Ancient Titan,Neutral Good,
"Mylinus, Titan of Endurance","Mylinus, Titan of Endurance (The%20Continent/Pantheons/Untitled/Titans/Asetherian%20Titans/Mylinus,%20Titan%20of%20Endurance%20139f1754c40381e5893aef3c0beb6568.csv) ",Aetherian Ancient Titan,"Endurancve, Stone",Ancient Titan,Chaotic Neutral,
"Oceanus, Titan of Exploration","Oceanus, Titan of Exploration (The%20Continent/Pantheons/Untitled/Titans/Asetherian%20Titans/Oceanus,%20Titan%20of%20Exploration%20139f1754c40381acab35c90d072a394a.csv) ",Aetherian Ancient Titan,"Water, Exploration",Ancient Titan,Lawful Neutral,
"Olymbrus, Titan of the Sky","Olymbrus, Titan of the Sky (The%20Continent/Pantheons/Untitled/Titans/Asetherian%20Titans/Olymbrus,%20Titan%20of%20the%20Sky%20139f1754c40381e6a69be159ef6a5a44.csv) ",Aetherian Ancient Titan,"Time, Sky",Ancient Titan,Lawful Neutral,
"Olympus, The Storm","Olympus, The Storm (The%20Continent/Pantheons/Untitled/Titans/Asetherian%20Titans/Olympus,%20The%20Storm%20139f1754c403817094d0d150996044fb.csv) ",Aetherian Ancient Titan,"Rebellion, Storms",Ancient Titan,Chaotic Neutral,
"Ophion, Titan of Creation","Ophion, Titan of Creation (The%20Continent/Pantheons/Untitled/Titans/Asetherian%20Titans/Ophion,%20Titan%20of%20Creation%20139f1754c403817dae0aea5fe7db007e.csv) ",Aetherian Ancient Titan,"Creation, Sky",Ancient Titan,"True Neutral ",
"Ostasus, The Timer","Ostasus, The Timer (The%20Continent/Pantheons/Untitled/Titans/Asetherian%20Titans/Ostasus,%20The%20Timer%20139f1754c40381a3b0d4f07ead2e45d9.csv) ",Aetherian Ancient Titan,"Time, Space",Ancient Titan,"True Neutral ",
"Pallas, Titan of Defense","Pallas, Titan of Defense (The%20Continent/Pantheons/Untitled/Titans/Asetherian%20Titans/Pallas,%20Titan%20of%20Defense%20139f1754c4038192a30dc38b580c9261.csv) ",Aetherian Ancient Titan,"War, Defense",Ancient Titan,Lawful Neutral,
"Perses, Titan of Annihilation","Perses, Titan of Annihilation (The%20Continent/Pantheons/Untitled/Titans/Asetherian%20Titans/Perses,%20Titan%20of%20Annihilation%20139f1754c40381d9a392ee6547876f3a.csv) ",Aetherian Ancient Titan,"Fire, Annihilation",Ancient Titan,Chaotic Evil,
"Phoebe, The Visionary","Phoebe, The Visionary (The%20Continent/Pantheons/Untitled/Titans/Asetherian%20Titans/Phoebe,%20The%20Visionary%20139f1754c403815da7e6ef471ba47b20.csv) ",Aetherian Ancient Titan,"Prophecy, Vision",Ancient Titan,Lawful Neutral,
"Phorcys, Titan of Monsters","Phorcys, Titan of Monsters (The%20Continent/Pantheons/Untitled/Titans/Asetherian%20Titans/Phorcys,%20Titan%20of%20Monsters%20139f1754c403814db91ce395ca0e9f1c.csv) ",Aetherian Ancient Titan,"Sea, Monsters",Ancient Titan,Lawful Neutral,
"Polus, Titan of Wisdom","Polus, Titan of Wisdom (The%20Continent/Pantheons/Untitled/Titans/Asetherian%20Titans/Polus,%20Titan%20of%20Wisdom%20139f1754c40381ada7e3e9a7a54ef119.csv) ",Aetherian Ancient Titan,"Stars, Knowledge",Ancient Titan,"True Neutral ",
"Prometheus, The Sacrificed Creator","Prometheus, The Sacrificed Creator (The%20Continent/Pantheons/Untitled/Titans/Asetherian%20Titans/Prometheus,%20The%20Sacrificed%20Creator%20139f1754c40381d4a4b9ed037bf4706d.csv) ",Aetherian Ancient Titan,"Creation, Sacrifice",Ancient Titan,Chaotic Good,
"Rhea, Titan of Life","Rhea, Titan of Life (The%20Continent/Pantheons/Untitled/Titans/Asetherian%20Titans/Rhea,%20Titan%20of%20Life%20139f1754c403817e8d6fe4473a4ac8c2.csv) ",Aetherian Ancient Titan,"Fertility, Life",Ancient Titan,Neutral Good,
"Selene, The Dream","Selene, The Dream (The%20Continent/Pantheons/Untitled/Titans/Asetherian%20Titans/Selene,%20The%20Dream%20139f1754c403811c92b6d2a4b73da32a.csv) ",Aetherian Ancient Titan,"Moon, Dreams",Ancient Titan,Neutral Good,
"Styx, Titan of Oaths","Styx, Titan of Oaths (The%20Continent/Pantheons/Untitled/Titans/Asetherian%20Titans/Styx,%20Titan%20of%20Oaths%20139f1754c4038125bef3c310931096d2.csv) ",Aetherian Ancient Titan,"Oaths, Death",Ancient Titan,Lawful Neutral,
"Syceus, Titan of Growth","Syceus, Titan of Growth (The%20Continent/Pantheons/Untitled/Titans/Asetherian%20Titans/Syceus,%20Titan%20of%20Growth%20139f1754c40381c99753cd85ab24ef4c.csv) ",Aetherian Ancient Titan,"Earth, Growth",Ancient Titan,Chaotic Neutral,
"Tethys, Titan of Navigation","Tethys, Titan of Navigation (The%20Continent/Pantheons/Untitled/Titans/Asetherian%20Titans/Tethys,%20Titan%20of%20Navigation%20139f1754c4038175be4ac3e9ce3b1f97.csv) ",Aetherian Ancient Titan,"Rivers, Navigation",Ancient Titan,Neutral Good,
"Theia, Titan of Light","Theia, Titan of Light (The%20Continent/Pantheons/Untitled/Titans/Asetherian%20Titans/Theia,%20Titan%20of%20Light%20139f1754c403818b9426cc1fb5f89bc5.csv) ",Aetherian Ancient Titan,"Light, Radiance",Ancient Titan,Neutral Good,
"Themis, Titan of Justice","Themis, Titan of Justice (The%20Continent/Pantheons/Untitled/Titans/Asetherian%20Titans/Themis,%20Titan%20of%20Justice%20139f1754c40381f38425f982917bbccb.csv) ",Aetherian Ancient Titan,"Law, Justice",Ancient Titan,Lawful Good,
"Titan, Titan of the Harvest","Titan, Titan of the Harvest (The%20Continent/Pantheons/Untitled/Titans/Asetherian%20Titans/Titan,%20Titan%20of%20the%20Harvest%20139f1754c403814ea14bd2c74711ea79.csv) ",Aetherian Ancient Titan,"Agriculture, Stars",Ancient Titan,"True Neutral ",
"Vaedoris, The Spear of Verdance","Vaedoris, The Spear of Verdance (The%20Continent/Pantheons/Untitled/Outer/Outer%20Gods/Vaedoris,%20The%20Spear%20of%20Verdance%20139f1754c40381e39ab1c854f7f2d847.csv) ",Dreaming Gods,"Flourishin, Renewal, Wild Instinct",Dryad,Chaotic Good,
"Horthonel, God of Fleeting Moments","Horthonel, God of Fleeting Moments (The%20Continent/Pantheons/Untitled/Outer/Outer%20Gods/Horthonel,%20God%20of%20Fleeting%20Moments%20139f1754c40381e2be05c7cfb4cea83f.csv) ",Dreaming Gods,"Ephemera, Inspiration, Lost Time",Couatl,Neutral,
"Saeronis, The River of Secrets","Saeronis, The River of Secrets (The%20Continent/Pantheons/Untitled/Outer/Outer%20Gods/Saeronis,%20The%20River%20of%20Secrets%20139f1754c403812eb5aef64674f7ec1f.csv) ",Dreaming Gods,"Forgotten Knowledge, Dreams, Cosmic Echoes",Night Hag,Neutral Evil,
"Tzarash, The Pale Guardian","Tzarash, The Pale Guardian (The%20Continent/Pantheons/Untitled/Outer/Outer%20Gods/Tzarash,%20The%20Pale%20Guardian%20139f1754c40381528e36f71e6a6e39c2.csv) ",Dreaming Gods,"Curses, Sacred Oaths, Temporal Guardianship",Ghost,Lawful Neutral,
"Velkora, The Flame Beyond Dawn","Velkora, The Flame Beyond Dawn (The%20Continent/Pantheons/Untitled/Outer/Outer%20Gods/Velkora,%20The%20Flame%20Beyond%20Dawn%20139f1754c40381a2a2f6cb8c258019d5.csv) ",Dreaming Gods,"Rebirth Through Fire, Twilight Revelation, Destruction",Phoenix,Chaotic Neutral,
"Urakh-Rynis, The Waiting Hunger","Urakh-Rynis, The Waiting Hunger (The%20Continent/Pantheons/Untitled/Outer/Outer%20Gods/Urakh-Rynis,%20The%20Waiting%20Hunger%20139f1754c40381d9a8abf54c83c3501e.csv) ",Dreaming Gods,"Paralysis, Dread, Predation of the Weak",Basilisk,Chaotic Evil,
"Kaelrath, The Burning Whisper","Kaelrath, The Burning Whisper (The%20Continent/Pantheons/Untitled/Outer/Outer%20Gods/Kaelrath,%20The%20Burning%20Whisper%20139f1754c40381e489aace753dc27feb.csv) ",Dreaming Gods,"Madness, Forbidden Illumination, Epiphany",Will-o’-Wisp,Chaotic Neutral,
"Glaithonel, The Seven Eyes Between Worlds","Glaithonel, The Seven Eyes Between Worlds (The%20Continent/Pantheons/Untitled/Outer/Outer%20Gods/Glaithonel,%20The%20Seven%20Eyes%20Between%20Worlds%20139f1754c403814da1f4ef0ea78b76b8.csv) ",Outer Gods,"Veiled Perception, Cosmic Voyages, Multiversal Sight",Beholder,Neutral,
"Aultheron, The Truth Incarnate","Aultheron, The Truth Incarnate (The%20Continent/Pantheons/Untitled/Outer/Outer%20Gods/Aultheron,%20The%20Truth%20Incarnate%20139f1754c40381c7ab78f0ee3a6ae3e3.csv) ",Outer Gods,"Absolute Truth, Domination of Will, Puppeteering",Elder Brain,Lawful Evil,
"Zarakhal, The Slumbering Core","Zarakhal, The Slumbering Core (The%20Continent/Pantheons/Untitled/Outer/Outer%20Gods/Zarakhal,%20The%20Slumbering%20Core%20139f1754c403811ca3eaf6b6cc123087.csv) ",Outer Gods,"Primordial Chaos, Stellar Dreams, Reality Shifting",Star Spawn,Chaotic Neutral,
"Thaun-Mirrath, The False Savior","Thaun-Mirrath, The False Savior (The%20Continent/Pantheons/Untitled/Outer/Outer%20Gods/Thaun-Mirrath,%20The%20False%20Savior%20139f1754c40381758447c09437eb08de.csv) ",Outer Gods,"False Hope, Shapeshifting, Imprisoned Power",Aboleth,Chaotic Evil,
"The Black Veil, Shroud of Cosmic Night","The Black Veil, Shroud of Cosmic Night (The%20Continent/Pantheons/Untitled/Outer/Outer%20Gods/The%20Black%20Veil,%20Shroud%20of%20Cosmic%20Night%20139f1754c40381b7aa70e67df5217f22.csv) ",Outer Gods,"Oblivion, Annihilation, Void Consumption",Shadow Demon,Neutral Evil,
"Moluth, The Living Womb","Moluth, The Living Womb (The%20Continent/Pantheons/Untitled/Outer/Outer%20Gods/Moluth,%20The%20Living%20Womb%20139f1754c40381b9bd2ef9796d033c36.csv) ",Outer Gods,"Birth of Horrors, Endless Gestation, Burrowing",Spawn of Kyuss,Chaotic Neutral,
"Maelthra, Lord of the Timeless Howl","Maelthra, Lord of the Timeless Howl (The%20Continent/Pantheons/Untitled/Outer/Outer%20Gods/Maelthra,%20Lord%20of%20the%20Timeless%20Howl%20139f1754c4038163941be71106f6e4ca.csv) ",Outer Gods,"Dimensional Rifts, Eternal Conflict, Shattered Minds",Howler,Neutral Evil,
