Name,Alignment,Domains,Gods,Race,Symbol,Tags
"Menoetius, Titan of Destruction",Chaotic Evil,"Destruction, Wrath","Menoetius, Titan of Destruction (Titans/Asetherian%20Titans/Menoetius,%20Titan%20of%20Destruction%20139f1754c40381f28054f1bfa442398a.md) ",Ancient Titan,,Aetherian Ancient Titan
"Vis, The Goddess of Strength",Lawful Neutral,"Strength, Resilience","Vis, The Goddess of Strength (Imperium%20Invicta/Invictian%20Gods/Vis,%20The%20Goddess%20of%20Strength%2011df1754c40381b5a2e5d7b428bbad98.md) ",Dragonborn,,Invictian Lesser God
"Minerva, The Sage of Wisdom",Chaotic Evil,"Creative Arts and Crafts ","Minerva, The Sage of Wisdom (Imperium%20Invicta/Invictian%20Gods/Minerva,%20The%20Sage%20of%20Wisdom%2011df1754c40381a6b7e5d3e889f06857.md) ",Kenku,,Invictian Lesser God
"Myrkul, God of Death",Neutral Evil,Death,"Myrkul, God of Death (Ascended/Asetherian%20Ascended/Myrkul,%20God%20of%20Death%20139f1754c40381938fbbe274d82a8867.md) ",Lich,,Asetherian Ascended God
"The Faceless God, The Masked Doom",Chaotic Evil,Evil and Darkness,"The Faceless God, The Masked Doom (Acheaorian/Acheaorian%20Gods/The%20Faceless%20God,%20The%20Masked%20Doom%20139f1754c40381709c0fc2da526dd805.md) ",Warforged,,Acheaorian Lesser God
"Kar’r’rga, The Temperental",Chaotic Neutral,Tempest and the Sea,"Kar’r’rga, The Temperental (Acheaorian/Acheaorian%20Gods/Kar%E2%80%99r%E2%80%99rga,%20The%20Temperental%20139f1754c40381a48816fe9ae95e4c79.md) ",Variant Triton,,Acheaorian Lesser God
"Muses Elder, Titan of Inspiration",Neutral Good,"Music, Inspiration","Clymene, The Deceptive Muse (Titans/Asetherian%20Titans/Clymene,%20The%20Deceptive%20Muse%20139f1754c40381ab91e9fcf6ab276797.md) ",Ancient Titan,,Aetherian Ancient Titan
"Mystra, Goddess of Magic",Neutral Good,Knowledge,"Mystra, Goddess of Magic (Ascended/Asetherian%20Ascended/Mystra,%20Goddess%20of%20Magic%20139f1754c40381a49521d4b976ccaead.md) ",Eladrin,,Asetherian Ascended God
"Sune, Goddess of Love and Beauty",Chaotic Good,"Life, Light","Sune, Goddess of Love and Beauty (Ascended/Asetherian%20Ascended/Sune,%20Goddess%20of%20Love%20and%20Beauty%20139f1754c40381b29758d8f841afe091.md) ",Nymph,,Asetherian Ascended God
"Leira, Goddess of Illusion",Chaotic Neutral,Trickery,"Leira, Goddess of Illusion (Ascended/Asetherian%20Ascended/Leira,%20Goddess%20of%20Illusion%20139f1754c403817c9997ea590bf85350.md) ",Shadow Demon,,Asetherian Ascended God
"Drummern and Pag, The Tempest Twins",Chaotic Neutral,Rhythm of the Storms,"Drummern and Pag, The Tempest Twins (Acheaorian/Acheaorian%20Gods/Drummern%20and%20Pag,%20The%20Tempest%20Twins%20139f1754c403811f8ee9dccc46ada62f.md) ",Merfolk,,Acheaorian Lesser God
Trivia. The Keeper of Secrets,Chaotic Evil,"Sorcery, Forbbiden Knowledge","Trivia. The Keeper of Secrets (Imperium%20Invicta/Invictian%20Gods/Trivia%20The%20Keeper%20of%20Secrets%2011df1754c40381c79b53dff86f3310f6.md) ",Yuan-Ti,,Invictian Lesser God
"Megamedes, Titan of Strategy",Lawful Evil,"Strategy, Command","Megamedes, Titan of Strategy (Titans/Asetherian%20Titans/Megamedes,%20Titan%20of%20Strategy%20139f1754c403812cb865e4479b638ba8.md) ",Ancient Titan,,Aetherian Ancient Titan
"Vatagatal, The Dutiful",Lawful Neutral,Honor and Responsibility,"Vatagatal, The Dutiful (Acheaorian/Acheaorian%20Gods/Vatagatal,%20The%20Dutiful%20139f1754c40381fabd77fb690e789879.md) ",Hobgoblin,,Acheaorian Lesser God
"Cupid, The Heart’s Arrow",Chaotic Good,"Love, Emotional Healing","Cupid, The Heart’s Arrow (Imperium%20Invicta/Invictian%20Gods/Cupid,%20The%20Heart%E2%80%99s%20Arrow%2011df1754c40381db9fb1f144542d30c1.md) ",Half Wood Elf,,Invictian Lesser God
"Metis, The Wise Strategist",Chaotic Evil,"Wisdom, Strategy","Metis, The Wise Strategist (Titans/Asetherian%20Titans/Metis,%20The%20Wise%20Strategist%20139f1754c40381c2aec2f8ecc5507785.md) ",Ancient Titan,,Aetherian Ancient Titan
"Najm, The Explorer",Chaotic Neutral,Paths of Adventure,"Najm, The Explorer (Acheaorian/Acheaorian%20Gods/Najm,%20The%20Explorer%20139f1754c403812cb85cf33f68ddf9eb.md) ",Half Elf,,Acheaorian Lesser God
"Bellona, The Warbringer",Lawful Evil,"Warfare, Shadow Tactics","Bellona, The Warbringer (Imperium%20Invicta/Invictian%20Gods/Bellona,%20The%20Warbringer%2011df1754c40381e0a96bdd65d9bb59f9.md) ",Hobgoblin,,Invictian Lesser God
"Tempus, God of War",True Neutral,War,"Tempus, God of War (Ascended/Asetherian%20Ascended/Tempus,%20God%20of%20War%20139f1754c403812d85c6e36df0fb0afb.md) ",Goliath,,Asetherian Ascended God
"Mylinus, Titan of Endurance",Chaotic Neutral,"Endurancve, Stone","Mylinus, Titan of Endurance (Titans/Asetherian%20Titans/Mylinus,%20Titan%20of%20Endurance%20139f1754c40381e5893aef3c0beb6568.md) ",Ancient Titan,,Aetherian Ancient Titan
"Theia, Titan of Light",Neutral Good,"Light, Radiance","Theia, Titan of Light (Titans/Asetherian%20Titans/Theia,%20Titan%20of%20Light%20139f1754c403818b9426cc1fb5f89bc5.md) ",Ancient Titan,,Aetherian Ancient Titan
"Arcus, The Spectrum",Chaotic Good,"Prismatic Nature, Trickery","Arcus, The Spectrum (Imperium%20Invicta/Invictian%20Gods/Arcus,%20The%20Spectrum%2011df1754c40381e48117e195e9b01a22.md) ",Aarakocra,,Invictian Lesser God
"Concordia, The Unifier",Lawful Good,"Unity, Peacekeeping","Concordia, The Unifier (Imperium%20Invicta/Invictian%20Gods/Concordia,%20The%20Unifier%2011df1754c40381e1ac76d073582796a3.md) ",Half High Elf,,Invictian Lesser God
"Selene, The Dream",Neutral Good,"Moon, Dreams","Selene, The Dream (Titans/Asetherian%20Titans/Selene,%20The%20Dream%20139f1754c403811c92b6d2a4b73da32a.md) ",Ancient Titan,,Aetherian Ancient Titan
"Azuth, God of Wizards",Lawful Neutral,Knowledge,"Azuth, God of Wizards (Ascended/Asetherian%20Ascended/Azuth,%20God%20of%20Wizards%20139f1754c40381da9265efabd0949eca.md) ",High Elf,,Asetherian Ascended God
"Melisseus, The Abundant Guardian",Neutral Good,"Protection, Abundance","Melisseus, The Abundant Guardian (Titans/Asetherian%20Titans/Melisseus,%20The%20Abundant%20Guardian%20139f1754c40381609cf9e381ffff0f68.md) ",Ancient Titan,,Aetherian Ancient Titan
"Anchiale, The Flame Artisan",Chaotic Neutral,"Fire, Craft","Anchiale, The Flame Artisan (Titans/Asetherian%20Titans/Anchiale,%20The%20Flame%20Artisan%20139f1754c4038158971cccf3378cb008.md) ",Ancient Titan,,Aetherian Ancient Titan
"Shajar, The River Guardian",True Neutral,Water and Life,"Shajar, The River Guardian (Acheaorian/Acheaorian%20Gods/Shajar,%20The%20River%20Guardian%20139f1754c40381f4be33f7bda3133580.md) ",Triton,,Acheaorian Lesser God
"Lliira, Goddess of Joy",Chaotic Good,Life,"Lliira, Goddess of Joy (Ascended/Asetherian%20Ascended/Lliira,%20Goddess%20of%20Joy%20139f1754c4038125adf2db1f14f9c89c.md) ",Sprite/Fairy,,Asetherian Ascended God
"Rhea, Titan of Life",Neutral Good,"Fertility, Life","Rhea, Titan of Life (Titans/Asetherian%20Titans/Rhea,%20Titan%20of%20Life%20139f1754c403817e8d6fe4473a4ac8c2.md) ",Ancient Titan,,Aetherian Ancient Titan
"Mars, The Champion of Valor",Lawful Evil,"Warfare, Glory","Mars, The Champion of Valor (Imperium%20Invicta/Invictian%20Gods/Mars,%20The%20Champion%20of%20Valor%2011df1754c40381f0b2dcf54f91406ed4.md) ",Half Elf(Drow),,Invictian Lesser God
"Eldath, Goddess of Peace",Neutral Good,"Life, Light","Eldath, Goddess of Peace (Ascended/Asetherian%20Ascended/Eldath,%20Goddess%20of%20Peace%20139f1754c4038142aa47cdd53951cd66.md) ",Water Genasi,,Asetherian Ascended God
"Styx, Titan of Oaths",Lawful Neutral,"Oaths, Death","Styx, Titan of Oaths (Titans/Asetherian%20Titans/Styx,%20Titan%20of%20Oaths%20139f1754c4038125bef3c310931096d2.md) ",Ancient Titan,,Aetherian Ancient Titan
"Dione, The Life Seer",Neutral Good,"Propecy, Life","Dione, The Life Seer (Titans/Asetherian%20Titans/Dione,%20The%20Life%20Seer%20139f1754c40381f88870edbd192907ac.md) ",Ancient Titan,,Aetherian Ancient Titan
"Gond, God of Craft",True Neutral,Knowledge,"Gond, God of Craft (Ascended/Asetherian%20Ascended/Gond,%20God%20of%20Craft%20139f1754c4038178a815ec30acdac26f.md) ",Modron,,Asetherian Ascended God
"Flora, The Blooming Spirit",Neutral Good,"Flower, Renewal","Flora, The Blooming Spirit (Imperium%20Invicta/Invictian%20Gods/Flora,%20The%20Blooming%20Spirit%2011df1754c40381f785c8cbfa465c835b.md) ",Dhampir,,Invictian Lesser God
"Helm, God of Protection",Lawful Neutral,"Life, Light","Helm, God of Protection (Ascended/Asetherian%20Ascended/Helm,%20God%20of%20Protection%20139f1754c40381ad9691daa97d5448ba.md) ",Goliath,,Asetherian Ascended God
"Mutunus, The God of Union",Chaotic Neutral,"Physical Union, Sensuality","Mutunus, The God of Union (Imperium%20Invicta/Invictian%20Gods/Mutunus,%20The%20God%20of%20Union%2011df1754c40381f8aa10e0bb8470e424.md) ",Half- Orc,,Invictian Lesser God
"Juventus, The Spirit of Vitality",Chaotic Good,"Youth, Endurance","Juventus, The Spirit of Vitality (Imperium%20Invicta/Invictian%20Gods/Juventus,%20The%20Spirit%20of%20Vitality%2011df1754c40381f59ef6cb61ea1dcfea.md) ",Aasimar,,Invictian Lesser God
"Phorcys, Titan of Monsters",Lawful Neutral,"Sea, Monsters","Phorcys, Titan of Monsters (Titans/Asetherian%20Titans/Phorcys,%20Titan%20of%20Monsters%20139f1754c403814db91ce395ca0e9f1c.md) ",Ancient Titan,,Aetherian Ancient Titan
"Phoebus, The illuminator",Neutral Evil,"Light, Heavenly Knowledge","Phoebus, The illuminator (Imperium%20Invicta/Invictian%20Gods/Phoebus,%20The%20illuminator%2011df1754c40381fb9bb8f3177077c0c5.md) ",Sun Elf,,Invictian Lesser God
"Hajama, The God of Valor",Lawful Neutral,War Strategy,"Hajama, The God of Valor (Acheaorian/Acheaorian%20Gods/Hajama,%20The%20God%20of%20Valor%20139f1754c40381c4b5ecfcd577ac9350.md) ",Leonin,,Acheaorian Lesser God
"Hakiyah, The Just Scales",Lawful Good,Justice and Truth,"Hakiyah, The Just Scales (Acheaorian/Acheaorian%20Gods/Hakiyah,%20The%20Just%20Scales%20139f1754c40381738f90f563dcbd040d.md) ",Protector Aasimar,,Acheaorian Lesser God
"Tyr, God of Justice",Lawful Good,War,"Tyr, God of Justice (Ascended/Asetherian%20Ascended/Tyr,%20God%20of%20Justice%20139f1754c4038189adddf027fe5ca28b.md) ",Aasiamar,,Asetherian Ascended God
"Hyperion, Titan of Knowledge"," Neutral Good","Light, Knowledge","Hyperion, Titan of Knowledge (Titans/Asetherian%20Titans/Hyperion,%20Titan%20of%20Knowledge%20139f1754c4038122a88dc4507a30ffce.md) ",Ancient Titan,,Aetherian Ancient Titan
"Thaun-Mirrath, The False Savior",Chaotic Evil,"False Hope, Shapeshifting, Imprisoned Power","Thaun-Mirrath, The False Savior (Outer/Outer%20Gods/Thaun-Mirrath,%20The%20False%20Savior%20139f1754c40381758447c09437eb08de.md) ",Aboleth,,Outer Gods
"Velkora, The Flame Beyond Dawn",Chaotic Neutral,"Rebirth Through Fire, Twilight Revelation, Destruction","Velkora, The Flame Beyond Dawn (Outer/Outer%20Gods/Velkora,%20The%20Flame%20Beyond%20Dawn%20139f1754c40381a2a2f6cb8c258019d5.md) ",Phoenix,,Dreaming Gods
"Horthonel, God of Fleeting Moments",Neutral,"Ephemera, Inspiration, Lost Time","Horthonel, God of Fleeting Moments (Outer/Outer%20Gods/Horthonel,%20God%20of%20Fleeting%20Moments%20139f1754c40381e2be05c7cfb4cea83f.md) ",Couatl,,Dreaming Gods
"The Black Veil, Shroud of Cosmic Night",Neutral Evil,"Oblivion, Annihilation, Void Consumption","The Black Veil, Shroud of Cosmic Night (Outer/Outer%20Gods/The%20Black%20Veil,%20Shroud%20of%20Cosmic%20Night%20139f1754c40381b7aa70e67df5217f22.md) ",Shadow Demon,,Outer Gods
"Saeronis, The River of Secrets",Neutral Evil,"Forgotten Knowledge, Dreams, Cosmic Echoes","Saeronis, The River of Secrets (Outer/Outer%20Gods/Saeronis,%20The%20River%20of%20Secrets%20139f1754c403812eb5aef64674f7ec1f.md) ",Night Hag,,Dreaming Gods
"Tzarash, The Pale Guardian",Lawful Neutral,"Curses, Sacred Oaths, Temporal Guardianship","Tzarash, The Pale Guardian (Outer/Outer%20Gods/Tzarash,%20The%20Pale%20Guardian%20139f1754c40381528e36f71e6a6e39c2.md) ",Ghost,,Dreaming Gods
"Vaedoris, The Spear of Verdance",Chaotic Good,"Flourishin, Renewal, Wild Instinct","Vaedoris, The Spear of Verdance (Outer/Outer%20Gods/Vaedoris,%20The%20Spear%20of%20Verdance%20139f1754c40381e39ab1c854f7f2d847.md) ",Dryad,,Dreaming Gods
"Aultheron, The Truth Incarnate",Lawful Evil,"Absolute Truth, Domination of Will, Puppeteering","Aultheron, The Truth Incarnate (Outer/Outer%20Gods/Aultheron,%20The%20Truth%20Incarnate%20139f1754c40381c7ab78f0ee3a6ae3e3.md) ",Elder Brain,,Outer Gods
"Maelthra, Lord of the Timeless Howl",Neutral Evil,"Dimensional Rifts, Eternal Conflict, Shattered Minds","Maelthra, Lord of the Timeless Howl (Outer/Outer%20Gods/Maelthra,%20Lord%20of%20the%20Timeless%20Howl%20139f1754c4038163941be71106f6e4ca.md) ",Howler,,Outer Gods
"Zarakhal, The Slumbering Core",Chaotic Neutral,"Primordial Chaos, Stellar Dreams, Reality Shifting","Zarakhal, The Slumbering Core (Outer/Outer%20Gods/Zarakhal,%20The%20Slumbering%20Core%20139f1754c403811ca3eaf6b6cc123087.md) ",Star Spawn,,Outer Gods
"Glaithonel, The Seven Eyes Between Worlds",Neutral,"Veiled Perception, Cosmic Voyages, Multiversal Sight","Glaithonel, The Seven Eyes Between Worlds (Outer/Outer%20Gods/Glaithonel,%20The%20Seven%20Eyes%20Between%20Worlds%20139f1754c403814da1f4ef0ea78b76b8.md) ",Beholder,,Outer Gods
"Urakh-Rynis, The Waiting Hunger",Chaotic Evil,"Paralysis, Dread, Predation of the Weak","Urakh-Rynis, The Waiting Hunger (Outer/Outer%20Gods/Urakh-Rynis,%20The%20Waiting%20Hunger%20139f1754c40381d9a8abf54c83c3501e.md) ",Basilisk,,Dreaming Gods
"Moluth, The Living Womb",Chaotic Neutral,"Birth of Horrors, Endless Gestation, Burrowing","Moluth, The Living Womb (Outer/Outer%20Gods/Moluth,%20The%20Living%20Womb%20139f1754c40381b9bd2ef9796d033c36.md) ",Spawn of Kyuss,,Outer Gods
"Kaelrath, The Burning Whisper",Chaotic Neutral,"Madness, Forbidden Illumination, Epiphany","Kaelrath, The Burning Whisper (Outer/Outer%20Gods/Kaelrath,%20The%20Burning%20Whisper%20139f1754c40381e489aace753dc27feb.md) ",Will-o’-Wisp,,Dreaming Gods
"Hercules, The Champion",Chaotic Good,"Strength, Adventure","Hercules, The Champion (Hellenorian/Hellenorian%20Gods/Hercules,%20The%20Champion%20138f1754c40381dcb06dd147ee8ad12b.md)",Goliath,,Hellenorian Lesser God
"Ares, The Warlord",Chaotic Evil,"War, Strife","Ares, The Warlord (Hellenorian/Hellenorian%20Gods/Ares,%20The%20Warlord%20138f1754c4038195ad22ed9f2fe28575.md)",Minotaur,,Hellenorian Lesser God
"Athena, The Wise Guardian",Lawful Good,"Knowledge, Civilization","Athena, The Wise Guardian (Hellenorian/Hellenorian%20Gods/Athena,%20The%20Wise%20Guardian%20138f1754c40381b0aea2e8c59b6a2eca.md)",Warforged,,Hellenorian Lesser God
"Artemis, The Huntress of the Moon",Neutral Good,"Nature, Wild Hunt, Lunar Light","Artemis, The Huntress of the Moon (Hellenorian/Hellenorian%20Gods/Artemis,%20The%20Huntress%20of%20the%20Moon%20138f1754c40381d5873de089fb18505d.md)",Tabaxi,,Hellenorian Lesser God
"Hermes, The Fleet-footed Messenger",Chaotic Good,"Travel, Commerce, Mercenary(Seekers)","Hermes, The Fleet-footed Messenger (Hellenorian/Hellenorian%20Gods/Hermes,%20The%20Fleet-footed%20Messenger%20138f1754c40381c69748e48c26475924.md)",Shifter,,Hellenorian Lesser God
"Zeus, The Storm Lord",True Neutral,Tempest,"Zeus, The Storm Lord (Hellenorian/Hellenorian%20Gods/Zeus,%20The%20Storm%20Lord%20138f1754c40381b6aca6df9fbf051f9c.md)",Variant Aasimar,,Hellenorian Lesser God
"Hestia, The Keeper of the Eternal Fire",Neutral Good,"Hearth, Home","Hestia, The Keeper of the Eternal Fire (Hellenorian/Hellenorian%20Gods/Hestia,%20The%20Keeper%20of%20the%20Eternal%20Fire%20138f1754c40381d088d4f7cc56bb29af.md)",Centaur,,Hellenorian Lesser God
"Hera, The Matron of Families",Chaotic Neutral,"Family, Intrigue","Hera, The Matron of Families (Hellenorian/Hellenorian%20Gods/Hera,%20The%20Matron%20of%20Families%20138f1754c4038198b401c486b30d1f38.md)",Leonin,,Hellenorian Lesser God
"Hades, The Lord of the Underworld",Lawful Evil,"Death, Wealth","Hades, The Lord of the Underworld (Hellenorian/Hellenorian%20Gods/Hades,%20The%20Lord%20of%20the%20Underworld%20138f1754c40381008d5cff81de3b52a7.md)",Duergar Tiefling Variant,,Hellenorian Lesser God
"Nike, The Winged Champion",Lawful Neutral,Victory,"Nike, The Winged Champion (Hellenorian/Hellenorian%20Gods/Nike,%20The%20Winged%20Champion%20138f1754c403818889e6efd91a80d7ed.md)",Fallen Aasimar,,Hellenorian Lesser God
"Hecate, The Mistress of the Arcane",Chaotic Evil,"Arcana, Moon, Crossroads","Hecate, The Mistress of the Arcane (Hellenorian/Hellenorian%20Gods/Hecate,%20The%20Mistress%20of%20the%20Arcane%20138f1754c403810abdebfc16293208ae.md)",Changeling,,Hellenorian Lesser God
"Aphrodite, The Enchantress",Chaotic Good,"Love, Beauty","Aphrodite, The Enchantress (Hellenorian/Hellenorian%20Gods/Aphrodite,%20The%20Enchantress%20138f1754c4038140869ed5042a0f98dd.md)",Variant Tiefling,,Hellenorian Lesser God
"Apollo, The Radiant One",Chaotic Good,"Light, Healing","Apollo, The Radiant One (Hellenorian/Hellenorian%20Gods/Apollo,%20The%20Radiant%20One%20138f1754c4038171b0b9cd5bdc0d33ba.md)",Aarakocra,,Hellenorian Lesser God
"Pan, The Wild Sheperd",Chaotic Neutral,"Nature,","Pan, The Wild Sheperd (Hellenorian/Hellenorian%20Gods/Pan,%20The%20Wild%20Sheperd%20138f1754c4038175aedcff946acf2f4f.md) ",Variant Centaur,,Hellenorian Lesser God
"Poseidon, The Earth Shaker",Chaotic Neutral,Sea,"Poseidon, The Earth Shaker (Hellenorian/Hellenorian%20Gods/Poseidon,%20The%20Earth%20Shaker%20138f1754c4038161814ad79bf699f1aa.md) ",Triton,,Hellenorian Lesser God
"Tyche, The Goddess of Fortune",True Neutral,"Luck, Fate","Tyche, The Goddess of Fortune (Hellenorian/Hellenorian%20Gods/Tyche,%20The%20Goddess%20of%20Fortune%20138f1754c403818e9f9de1614cbbeb70.md)",All Genasi,,Hellenorian Lesser God
"Demeter, The Earth Mother",Neutral Good,Agriculture,"Demeter, The Earth Mother (Hellenorian/Hellenorian%20Gods/Demeter,%20The%20Earth%20Mother%20138f1754c4038132bb91f142c745fd85.md) ",Firbolg,,Hellenorian Lesser God
"Hephaestus, The Forge Master",Neutral Good,Forge,"Hephaestus, The Forge Master (Hellenorian/Hellenorian%20Gods/Hephaestus,%20The%20Forge%20Master%20138f1754c4038145adecde9e85cc945b.md) ",Deep Gnome,,Hellenorian Lesser God
"Dionysus, The God of Festivity",Chaotic Neutral,"Life, Revelry","Dionysus, The God of Festivity (Hellenorian/Hellenorian%20Gods/Dionysus,%20The%20God%20of%20Festivity%20138f1754c403814196a1fb9f67552569.md) ",Satyr,,Hellenorian Lesser God
